"variable","etiqueta","tipo","valores/categorías","unidad","origen","transformación","notas"
"Abortos previos CODIGO","Abortos previos CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Numero de Partos previos","Numero de Partos previos","entero","rango observado: 0–3","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Partos previo SI NO","Partos previo SI NO","texto/categórico"," | no | si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CODIGO PARTO PREVIO","CODIGO PARTO PREVIO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Cesáreas previas CODIGO","Cesáreas previas CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Cesáreas previas CATEGORIA","Cesáreas previas CATEGORIA","texto/categórico"," | No | Si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Ant. muertos a. sem.","Ant. muertos a. sem.","entero","rango observado: 0–2","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Ant. muertos después a. sem.","Ant. muertos después a. sem.","entero","rango observado: 0–2","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Ant. nacidos muertos","Ant. nacidos muertos","entero","rango observado: 0–2","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Numero de nacidos vivos","Numero de nacidos vivos","entero","rango observado: 0–3","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Antecedentes gemelares CODIGO","Antecedentes gemelares CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Eclampsia familiar","Eclampsia familiar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Preclampsia familiar","Preclampsia familiar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Diabetes familiar","Diabetes familiar","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Preclampsia personal","Preclampsia personal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hipertensión personal","Hipertensión personal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Eclampsia personal","Eclampsia personal","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Embarazo múltiple CODIGO","Embarazo múltiple CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Embarazo planeado","Embarazo planeado","texto/categórico","no | si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Embarazo planeado CODIGO","Embarazo planeado CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"ANTICONCEPTIVO CODIGO","ANTICONCEPTIVO CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"FOLATOS CODIGO","FOLATOS CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hierro","Hierro","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alcohol 1er.","Alcohol 1er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alcohol 2do.","Alcohol 2do.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alcohol 3er.","Alcohol 3er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alcohol CODIGO","Alcohol CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Drogas 1er.","Drogas 1er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Drogas 2do.","Drogas 2do.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Drogas 3er.","Drogas 3er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"DROGAS","DROGAS","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora activa 1er.","Fumadora activa 1er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora activa 2do.","Fumadora activa 2do.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora activa 3er.","Fumadora activa 3er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"TABACO ACTIVO","TABACO ACTIVO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora pasiva 1er.","Fumadora pasiva 1er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora pasiva 2do.","Fumadora pasiva 2do.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Fumadora pasiva 3er.","Fumadora pasiva 3er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"TABACO PASIVO","TABACO PASIVO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Violencia 1er.","Violencia 1er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Violencia 2do.","Violencia 2do.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Violencia 3er.","Violencia 3er.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"VIOLENCIA CODIGO","VIOLENCIA CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hemorragia 1er. trim.","Hemorragia 1er. trim.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hemorragia 2do. trim.","Hemorragia 2do. trim.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hemorragia 3er. trim.","Hemorragia 3er. trim.","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Número Consultas prenatales","Número Consultas prenatales","entero","rango observado: 0–20","consultas","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Consultas prenatales CATEGORIA","Consultas prenatales CATEGORIA","texto/categórico"," | 1 A 4 | 5 A 7 | 8 O MAS | NINGUNA","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RPM CODIGO","RPM CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Preparación parto","Preparación parto","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Acompañante Parto CATEGORIA","Acompañante Parto CATEGORIA","texto/categórico"," | familiar | madre | ninguno | otro | pareja","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Acompañante Parto CODIGO","Acompañante Parto CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Presentación situación","Presentación situación","texto/categórico"," | cefálica | pelviana | transversa","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"PRESENTACION CEFALICA","PRESENTACION CEFALICA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"TIPO DE PARTO","TIPO DE PARTO","texto/categórico"," | cesárea | vaginal | Vaginal","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CESAREA","CESAREA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Motivo principal de induccion o cirugia","Motivo principal de induccion o cirugia","texto/categórico","REVISION_MANUAL: categorías o texto libre no enumerados","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Posición parto","Posición parto","texto/categórico"," | acostada | cuclillas | decubito lateral | genuipectoral | sentada","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Episiotomía CODIGO","Episiotomía CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Tipo Laceracion perineal","Tipo Laceracion perineal","entero","rango observado: 1–4","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Desgarros SI NO","Desgarros SI NO","texto/categórico"," | no | si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Anestesia general","Anestesia general","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Anestesia local","Anestesia local","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Anestesia regional","Anestesia regional","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"ANESTESIA CATEGORIA","ANESTESIA CATEGORIA","texto/categórico","GENERAL | LOCAL | NO | REGIONAL","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Hemorragia postparto","Hemorragia postparto","texto/categórico","0 | 1 | Hemorragia postparto","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Edad gestaciol RN","Edad gestaciol RN","entero","rango observado: 12–45","semanas","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Edad gestaciol RN - días","Edad gestaciol RN - días","entero","rango observado: 0–6","días","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Edad gestacional CATEGORIA","Edad gestacional CATEGORIA","entero","rango observado: 1–3","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"PREMATURO CODIGO","PREMATURO CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"A TERMINO CODIGO","A TERMINO CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"POSTERMINO CODIGO","POSTERMINO CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Apgar 1er. Minuto","Apgar 1er. Minuto","entero","rango observado: 0–10","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Apgar 1 minuto <7 SI NO","Apgar 1 minuto <7 SI NO","texto/categórico"," | no | si | sisi","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CODIGO Apgar 1 minuto <7","CODIGO Apgar 1 minuto <7","entero","rango observado: 0–11","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Apgar 5to. Minuto","Apgar 5to. Minuto","entero","rango observado: 0–10","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Apgar 5to. <7 SI NO","Apgar 5to. <7 SI NO","texto/categórico"," | no | si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CODIGO Apgar 5to. < 7","CODIGO Apgar 5to. < 7","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Peso al nacer GRAMOS","Peso al nacer GRAMOS","entero","rango observado: 520–6195","gramos","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"PESO/EG CATEGORIA","PESO/EG CATEGORIA","texto/categórico"," | adecuado | grande | pequeño","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"RCIU","RCIU","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
